datetime_round,lat,lon,sog_knots,cog_deg,stw_knots,awa_deg,aws_knots,heading_deg,twa_raw,twa,tack
2025-07-26 14:17:44,53.299735023809525,-6.095697238095238,4.731428571428571,325.3342857142857,5.94,328.2,11.88,330.0,298.20000000000005,61.799999999999955,port
2025-07-26 14:17:45,53.29975342857143,-6.095715119047619,4.775714285714286,324.06714285714287,5.88,325.8,11.02,329.0,294.79999999999995,65.20000000000005,port
2025-07-26 14:17:46,53.29977183333333,-6.095733,4.82,322.8,5.82,323.4,10.16,326.6666666666667,290.0666666666666,69.9333333333334,port
2025-07-26 14:17:47,53.299784599999995,-6.095751633333333,4.752000000000001,321.004,5.76,321.0,9.3,324.3333333333333,285.33333333333326,74.66666666666674,port
2025-07-26 14:17:48,53.29979736666667,-6.095770266666666,4.684,319.208,5.7,322.0,9.4,322.0,284.0,76.0,port
2025-07-26 14:17:49,53.29981013333333,-6.0957889000000005,4.6160000000000005,317.412,5.640000000000001,323.0,9.5,321.8666666666667,284.8666666666667,75.13333333333333,port
2025-07-26 14:17:50,53.2998229,-6.095807533333334,4.548,315.616,5.58,326.0,9.3,321.73333333333335,287.73333333333335,72.26666666666665,port
2025-07-26 14:17:51,53.29983566666667,-6.095826166666667,4.48,313.82,5.5200000000000005,326.0,9.1,321.6,287.6,72.39999999999998,port
2025-07-26 14:17:52,53.299849775,-6.095849016666667,4.461,313.964,5.46,326.0,8.9,321.46666666666664,287.4666666666667,72.5333333333333,port
2025-07-26 14:17:53,53.29986388333333,-6.095871866666667,4.442,314.108,5.4,327.3333333333333,9.033333333333333,321.3333333333333,288.66666666666663,71.33333333333337,port
2025-07-26 14:17:54,53.29987799166667,-6.095894716666667,4.423,314.252,5.5,328.6666666666667,9.166666666666668,321.2,289.8666666666667,70.13333333333333,port
2025-07-26 14:17:55,53.2998921,-6.0959175666666665,4.404,314.396,5.3999999999999995,330.0,9.3,321.06666666666666,291.0666666666666,68.9333333333334,port
2025-07-26 14:17:56,53.29990620833333,-6.095940416666667,4.385000000000001,314.53999999999996,5.3,331.5,9.0,320.93333333333334,292.4333333333334,67.5666666666666,port
2025-07-26 14:17:57,53.299920316666665,-6.095963266666667,4.3660000000000005,314.68399999999997,5.4,333.0,8.7,320.8,293.79999999999995,66.20000000000005,port
2025-07-26 14:17:58,53.299934425,-6.0959861166666665,4.347,314.828,5.5,338.0,11.65,320.6666666666667,298.66666666666674,61.33333333333326,port
